Designator,Mid X,Mid Y,Rotation,Layer
BT1,32.494,-49.0913,180.0,top
D1,-59.7256,-51.6528,0.0,top
D10,12.5628,-59.8316,0.0,top
D11,-59.8272,-85.5872,0.0,top
D12,-41.7424,-73.6492,0.0,top
D13,-23.7592,-67.6548,0.0,top
D14,-5.6744,-74.3096,0.0,top
D15,12.3596,-76.6972,0.0,top
D16,-0.3304,-106.4152,0.0,top
D17,18.134384,-108.710698,345.0,top
D18,35.018155,-115.491756,330.0,top
D2,-41.6408,-39.6132,0.0,top
D3,-23.6576,-33.568,0.0,top
D4,-5.7252,-40.6292,0.0,top
D5,12.258,-42.7628,0.0,top
D6,-59.8272,-68.5692,0.0,top
D7,-41.844,-56.682,0.0,top
D8,-23.7592,-50.6876,0.0,top
D9,-5.776,-57.2408,0.0,top
J2,32.324,-77.3595,0.0,top
PWR_SW1,40.122,-86.494,90.0,top
RSW1,30.27,-86.34,90.0,top
SW1,-59.82,-57.74,0.0,top
SW10,12.18,-65.74,0.0,top
SW11,-59.82,-91.74,0.0,top
SW12,-41.82,-79.74,0.0,top
SW13,-23.82,-73.74,0.0,top
SW14,-5.82,-80.365,0.0,top
SW15,12.18,-82.74,0.0,top
SW16,-0.28,-100.33,180.0,top
SW17,19.77,-102.92,165.0,top
SW18,38.27,-110.34,150.0,top
SW2,-41.82,-45.74,0.0,top
SW3,-23.82,-39.74,0.0,top
SW4,-5.82,-46.36,0.0,top
SW5,12.18,-48.74,0.0,top
SW6,-59.82,-74.74,0.0,top
SW7,-41.82,-62.74,0.0,top
SW8,-23.82,-56.74,0.0,top
SW9,-5.82,-63.36,0.0,top
U1,32.324,-59.73,0.0,top
